ogrid	relation	dgrid	m
0	0	2	640644
0	0	3	32
0	0	4	96
0	0	5	250438
0	0	6	77
0	0	7	1728
0	0	8	3161
0	0	9	26
0	0	10	376
0	0	11	160781
0	0	12	103089
0	0	13	356810
0	0	14	179
0	0	18	11
0	0	19	26
0	0	20	60
0	0	28	22
0	0	29	30
0	0	31	13
0	0	32	16
0	0	33	10
0	0	34	227
0	0	39	55
0	0	57	15
0	0	59	11
0	0	62	35
0	0	64	145
0	0	65	52
0	0	66	74
0	0	75	32
0	0	77	34
0	0	81	27
0	0	84	22
0	0	90	445
0	0	91	828
0	0	92	320120
0	0	93	57
0	0	94	1303
0	0	95	328
0	0	96	387877
0	0	97	120
0	0	98	35
0	0	101	12
0	0	103	26
0	0	104	183
0	0	105	13
0	0	106	23
0	0	108	15
0	0	129	57
0	0	130	157
0	0	131	58
0	0	132	16
0	0	133	43
0	0	134	17
0	0	135	41
0	0	140	76
0	0	150	18
0	0	151	23
0	0	155	11
0	0	158	24
0	0	171	10
0	0	172	15
0	0	174	10
0	0	176	12
0	0	180	23
0	0	184	59
1	0	0	357
1	0	2	282
1	0	3	21
1	0	4	52
1	0	5	61
1	0	6	11
1	0	7	18937
1	0	8	303625
1	0	10	216802
1	0	11	141
1	0	12	135219
1	0	13	606
1	0	14	53
1	0	15	38
1	0	32	12
1	0	34	21
1	0	39	16
1	0	64	16
1	0	65	17
1	0	90	144
1	0	91	160
1	0	92	97
1	0	94	42
1	0	95	11
1	0	96	180
1	0	97	12
1	0	98	10
1	0	129	57
1	0	130	142
1	0	131	529
1	0	132	11
1	0	133	58
1	0	134	74
1	0	135	25
1	0	140	12
1	0	151	14
1	0	155	16
1	0	158	27
1	0	184	398
2	0	0	632503
2	0	1	272
2	0	3	746
2	0	4	47
2	0	5	199993
2	0	6	35922
2	0	7	703
2	0	8	453966
2	0	9	13488
2	0	10	151
2	0	11	434
2	0	12	851
2	0	13	1286
2	0	14	66675
2	0	15	31
2	0	20	21
2	0	27	18
2	0	28	18
2	0	29	21
2	0	32	16
2	0	33	37
2	0	34	98
2	0	39	46
2	0	62	22
2	0	63	12
2	0	64	214
2	0	65	35
2	0	66	49
2	0	69	46
2	0	81	18
2	0	84	12
2	0	90	457
2	0	91	145
2	0	92	85004
2	0	93	10
2	0	94	450
2	0	95	52
2	0	96	958
2	0	97	49
2	0	98	62
2	0	101	11
2	0	103	237
2	0	104	240
2	0	106	11
2	0	129	35
2	0	130	88
2	0	131	69
2	0	132	24
2	0	133	35
2	0	134	15
2	0	135	37
2	0	140	24
2	0	150	12
2	0	151	27
2	0	155	14
2	0	158	16
2	0	171	19
2	0	172	26
2	0	174	28
2	0	175	26
2	0	176	12
2	0	177	11
2	0	180	23
2	0	184	151
3	0	0	49
3	0	1	35
3	0	2	949
3	0	6	19
3	0	7	23
3	0	8	38511
3	0	10	11
3	0	12	42
3	0	13	18
3	0	27	24748
3	0	28	10
3	0	32	3829
3	0	34	45
3	0	81	12
3	0	92	839
3	0	94	11
3	0	96	11
3	0	184	11
4	0	0	89
4	0	1	44
4	0	2	50
4	0	5	34
4	0	7	128
4	0	8	158788
4	0	9	65
4	0	10	14
4	0	11	6373
4	0	12	219282
4	0	13	66
4	0	14	1155
4	0	15	16187
4	0	96	15
5	0	0	253875
5	0	1	83
5	0	2	196327
5	0	4	35
5	0	6	25
5	0	7	86
5	0	8	194
5	0	9	59
5	0	10	17
5	0	11	8944
5	0	12	602
5	0	13	163
5	0	14	41615
5	0	15	27
5	0	92	28
5	0	96	64
6	0	0	85
6	0	1	15
6	0	2	41954
6	0	3	10
6	0	5	30
6	0	7	14
6	0	8	22033
6	0	9	48020
6	0	10	10
6	0	12	32
6	0	13	21
6	0	14	79
6	0	15	26
6	0	92	10
7	0	0	1752
7	0	1	17197
7	0	2	683
7	0	3	23
7	0	4	179
7	0	5	64
7	0	6	17
7	0	8	2456
7	0	10	355348
7	0	11	129
7	0	12	255391
7	0	13	721471
7	0	14	59
7	0	15	10
7	0	19	52
7	0	20	11
7	0	29	32
7	0	32	13
7	0	34	40
7	0	39	13
7	0	62	17
7	0	64	19
7	0	65	33
7	0	66	17
7	0	67	54
7	0	90	181
7	0	91	201
7	0	92	319
7	0	93	12
7	0	94	89
7	0	95	16
7	0	96	897
7	0	97	27
7	0	98	16
7	0	129	411
7	0	130	2024
